Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
1949 - 1978;Unter 30;3 - 6 Wohnungen;(110);196;(187);124;(94);(156);375;248;(153);93;(207);(127);200;121;140
1949 - 1978;Unter 30;7 - 12 Wohnungen;110;616;424;(132);(94);(122);221;388;493;(117);228;(74);256;135;216
1949 - 1978;Unter 30;13 und mehr Wohnungen;120;1607;636;139;35;54;325;304;474;110;199;17;101;(96);(228)
1949 - 1978;30 - 39;1 Wohnung;6;(3);80;7;94;56;141;105;79;37;(113);27;(47);(61);9
1949 - 1978;30 - 39;2 Wohnungen;40;63;92;(12);(98);85;210;(156);183;(93);154;175;(102);49;(113)
1949 - 1978;30 - 39;3 - 6 Wohnungen;387;542;1014;434;304;550;639;825;653;210;696;353;537;433;511
1949 - 1978;30 - 39;7 - 12 Wohnungen;507;1670;1955;612;355;592;472;1061;1485;281;810;275;1061;478;670
1949 - 1978;30 - 39;13 und mehr Wohnungen;323;2213;2396;158;(151);253;661;1082;1576;340;329;280;1037;273;868
1949 - 1978;40 - 49;1 Wohnung;16;(37);82;46;369;172;317;367;211;151;(248);170;123;108;98
1949 - 1978;40 - 49;2 Wohnungen;(96);174;201;(121);221;338;442;434;381;(182);389;289;229;184;252
1949 - 1978;40 - 49;3 - 6 Wohnungen;761;1479;1477;651;566;1017;1076;1604;1496;524;1202;636;840;639;918
1949 - 1978;40 - 49;7 - 12 Wohnungen;1053;3580;2880;781;370;795;441;1388;1758;572;941;366;1026;415;927
1949 - 1978;40 - 49;13 und mehr Wohnungen;602;2732;1938;244;274;363;814;2070;1629;522;654;304;1130;(217);635
1949 - 1978;50 - 59;1 Wohnung;34;215;239;(105);447;356;612;617;326;287;457;355;181;178;175
1949 - 1978;50 - 59;2 Wohnungen;(104);199;317;(115);(375);468;488;529;471;336;662;381;449;(274);425
1949 - 1978;50 - 59;3 - 6 Wohnungen;1241;1961;2166;1038;946;1609;1489;2086;2369;1025;2069;897;2096;1315;1589
1949 - 1978;50 - 59;7 - 12 Wohnungen;1092;4484;4460;804;308;1293;418;1490;2746;549;1116;478;1344;548;1223
1949 - 1978;50 - 59;13 und mehr Wohnungen;780;2446;2211;404;156;640;597;1603;1819;467;445;319;1108;272;929
1949 - 1978;60 - 69;1 Wohnung;99;576;784;232;810;731;781;1188;809;624;1202;706;737;535;580
1949 - 1978;60 - 69;2 Wohnungen;150;223;490;155;380;674;568;814;661;407;852;512;695;395;599
1949 - 1978;60 - 69;3 - 6 Wohnungen;2320;2224;2917;1731;897;1933;1714;2838;3209;1134;2598;1794;2531;1995;2614
1949 - 1978;60 - 69;7 - 12 Wohnungen;1195;5802;4407;1172;233;1145;335;1357;4251;643;1229;523;1919;569;1663
1949 - 1978;60 - 69;13 und mehr Wohnungen;456;3327;2055;451;91;518;459;908;2059;525;460;307;1507;317;877
1949 - 1978;70 - 79;1 Wohnung;254;683;1340;664;1247;969;1208;1686;1559;922;1449;892;1158;878;947
1949 - 1978;70 - 79;2 Wohnungen;121;250;395;193;321;604;623;734;711;450;802;514;665;333;707
1949 - 1978;70 - 79;3 - 6 Wohnungen;1299;1659;1286;1119;638;1297;1196;1494;2727;883;2219;1257;2010;1233;1966
1949 - 1978;70 - 79;7 - 12 Wohnungen;1059;3971;2300;717;(265);708;259;678;2197;346;1168;458;1990;390;1579
1949 - 1978;70 - 79;13 und mehr Wohnungen;538;2817;1586;237;132;629;375;664;1652;561;798;322;1321;(154);956
1949 - 1978;80 - 89;1 Wohnung;392;1001;1390;943;2052;1590;1771;2153;2703;1423;2985;1551;2302;1393;1620
1949 - 1978;80 - 89;2 Wohnungen;75;205;381;169;(313);575;585;707;731;496;893;630;802;364;737
1949 - 1978;80 - 89;3 - 6 Wohnungen;667;738;674;429;404;709;730;1117;1431;450;1314;726;973;605;1091
1949 - 1978;80 - 89;7 - 12 Wohnungen;474;1675;861;(312);115;432;131;338;1210;127;685;280;960;(170);746
1949 - 1978;80 - 89;13 und mehr Wohnungen;342;1225;633;99;(108);(162);(158);506;1095;186;420;(270);759;(75);577
1949 - 1978;90 - 99;1 Wohnung;490;1038;1330;1285;2247;2250;2149;2237;3088;1760;3048;2171;2760;1707;2331
1949 - 1978;90 - 99;2 Wohnungen;(64);(180);(272);(111);319;518;392;610;593;419;697;451;590;311;644
1949 - 1978;90 - 99;3 - 6 Wohnungen;194;479;(256);(199);(166);263;308;397;658;181;471;390;392;197;587
1949 - 1978;90 - 99;7 - 12 Wohnungen;(239);680;278;(133);(55);126;(58);186;495;82;230;(69);428;(54);478
1949 - 1978;90 - 99;13 und mehr Wohnungen;192;658;(139);(40);70;92;111;207;467;228;153;82;264;68;307
1949 - 1978;100 - 109;1 Wohnung;588;1169;1576;997;2373;2240;2395;2434;3342;1748;3525;2391;3492;2062;2562
1949 - 1978;100 - 109;2 Wohnungen;(58);167;258;(97);308;452;429;577;551;422;777;509;585;265;639
1949 - 1978;100 - 109;3 - 6 Wohnungen;(94);203;185;91;(145);(266);256;(305);(277);(154);327;181;262;(133);296
1949 - 1978;100 - 109;7 - 12 Wohnungen;99;295;94;62;9;(82);29;115;(129);22;(81);(39);91;26;173
1949 - 1978;100 - 109;13 und mehr Wohnungen;43;379;(85);(52);15;(30);22;60;152;103;44;21;81;6;165
1949 - 1978;110 - 119;1 Wohnung;496;742;1062;621;1626;1630;1729;1826;2689;1237;2614;1614;2634;1301;2036
1949 - 1978;110 - 119;2 Wohnungen;35;101;(136);47;(98);(274);221;294;304;(151);365;264;314;116;327
1949 - 1978;110 - 119;3 - 6 Wohnungen;(17);116;(54);50;45;89;(73);(141);165;79;99;109;113;(60);163
1949 - 1978;110 - 119;7 - 12 Wohnungen;17;109;34;22;9;(12);13;89;105;3;21;15;61;(10);56
1949 - 1978;110 - 119;13 und mehr Wohnungen;26;(23);36;15;-;12;30;121;43;28;49;3;54;13;23
1949 - 1978;120 - 129;1 Wohnung;620;1133;1533;842;2275;2327;2902;2911;3876;1955;4031;2995;3631;1965;3213
1949 - 1978;120 - 129;2 Wohnungen;28;150;(119);76;201;333;327;394;387;299;599;384;420;186;399
1949 - 1978;120 - 129;3 - 6 Wohnungen;(38);83;62;(13);(92);(107);124;172;(147);(68);160;(100);107;(44);140
1949 - 1978;120 - 129;7 - 12 Wohnungen;6;(80);15;12;-;18;9;51;(58);6;19;(15);16;6;15
1949 - 1978;120 - 129;13 und mehr Wohnungen;(6);87;15;-;100;-;25;98;26;12;6;-;32;3;13
1949 - 1978;130 - 139;1 Wohnung;274;437;711;395;960;1138;1214;1168;1991;892;1916;1290;1726;921;1589
1949 - 1978;130 - 139;2 Wohnungen;23;41;(101);26;(69);118;(117);145;(146);(99);(255);154;175;69;178
1949 - 1978;130 - 139;3 - 6 Wohnungen;25;(44);32;19;31;56;(73);56;(66);38;76;(35);76;(34);(44)
1949 - 1978;130 - 139;7 - 12 Wohnungen;13;(34);(4);6;4;9;-;9;31;6;15;10;(11);-;16
1949 - 1978;130 - 139;13 und mehr Wohnungen;3;22;6;-;-;10;12;-;(16);3;-;-;44;-;(47)
1949 - 1978;140 - 149;1 Wohnung;273;433;601;291;986;1157;1241;1158;1700;899;1795;1245;1534;863;1685
1949 - 1978;140 - 149;2 Wohnungen;10;43;(73);(36);(68);(101);120;(120);141;(94);(140);142;(142);53;144
1949 - 1978;140 - 149;3 - 6 Wohnungen;12;40;35;16;(13);27;(28);(110);(31);27;(48);30;61;25;(41)
1949 - 1978;140 - 149;7 - 12 Wohnungen;7;21;6;6;4;10;10;3;4;4;4;-;7;3;19
1949 - 1978;140 - 149;13 und mehr Wohnungen;6;9;6;-;-;-;6;33;9;-;-;6;23;-;3
1949 - 1978;150 - 159;1 Wohnung;241;317;451;257;700;828;821;939;1449;677;1453;963;1358;556;1250
1949 - 1978;150 - 159;2 Wohnungen;16;34;49;15;(73);(91);97;(115);(115);76;146;106;127;42;123
1949 - 1978;150 - 159;3 - 6 Wohnungen;(3);28;12;-;9;(34);42;48;(34);24;36;(18);32;(31);34
1949 - 1978;150 - 159;7 - 12 Wohnungen;3;11;3;4;9;18;-;6;3;-;-;-;-;-;3
1949 - 1978;150 - 159;13 und mehr Wohnungen;-;3;4;-;-;12;29;36;40;7;3;16;12;-;-
1949 - 1978;160 - 169;1 Wohnung;(150);208;284;163;455;572;672;538;890;501;1179;723;903;368;880
1949 - 1978;160 - 169;2 Wohnungen;9;20;37;3;(36);86;65;61;67;(66);101;110;75;36;79
1949 - 1978;160 - 169;3 - 6 Wohnungen;7;13;12;6;11;18;20;(28);(25);13;(29);18;19;3;28
1949 - 1978;160 - 169;7 - 12 Wohnungen;3;10;3;-;4;3;-;-;3;-;-;3;3;-;6
1949 - 1978;160 - 169;13 und mehr Wohnungen;3;6;-;-;10;3;-;9;12;-;-;-;3;-;-
1949 - 1978;170 - 179;1 Wohnung;(69);110;122;(88);310;340;258;276;408;(227);521;306;441;(152);386
1949 - 1978;170 - 179;2 Wohnungen;3;11;(10);-;25;(34);(33);34;36;38;(34);51;(43);(37);(58)
1949 - 1978;170 - 179;3 - 6 Wohnungen;-;16;9;(11);(17);10;10;18;10;30;18;(28);9;12;(6)
1949 - 1978;170 - 179;7 - 12 Wohnungen;-;30;6;3;-;-;-;6;3;3;(46);-;3;6;3
1949 - 1978;170 - 179;13 und mehr Wohnungen;(18);60;6;9;-;-;-;-;-;-;-;-;-;-;28
1949 - 1978;180 und mehr;1 Wohnung;355;481;539;344;956;1312;1179;1193;1625;854;1805;1487;1754;759;1648
1949 - 1978;180 und mehr;2 Wohnungen;26;(71);72;22;96;186;171;(241);192;(118);217;235;206;(75);(225)
1949 - 1978;180 und mehr;3 - 6 Wohnungen;18;(56);28;19;47;37;55;(47);49;57;(86);(70);(48);(28);51
1949 - 1978;180 und mehr;7 - 12 Wohnungen;-;42;14;-;3;6;3;9;14;3;3;15;-;-;3
1949 - 1978;180 und mehr;13 und mehr Wohnungen;15;45;3;6;28;9;6;55;37;-;3;6;6;-;6
1979 - 1986;Unter 30;1 Wohnung;4;4;6;3;3;3;3;3;3;-;9;3;-;-;-
1979 - 1986;Unter 30;2 Wohnungen;-;6;3;-;7;3;(12);12;4;10;15;-;(15);-;-
1979 - 1986;Unter 30;3 - 6 Wohnungen;-;6;7;4;28;(13);(86);63;(37);4;13;6;26;12;19
1979 - 1986;Unter 30;7 - 12 Wohnungen;15;3;23;9;19;-;40;23;13;6;13;3;10;6;6
1979 - 1986;Unter 30;13 und mehr Wohnungen;12;244;9;43;3;9;6;22;3;-;74;3;33;4;3
1979 - 1986;30 - 39;1 Wohnung;-;-;(75);-;21;-;16;10;-;8;6;9;4;6;-
1979 - 1986;30 - 39;2 Wohnungen;6;10;12;4;37;13;76;47;32;15;30;17;13;6;(43)
1979 - 1986;30 - 39;3 - 6 Wohnungen;38;31;(30);10;(62);(63);165;108;(49);29;(55);36;48;22;47
1979 - 1986;30 - 39;7 - 12 Wohnungen;28;42;240;(22);33;27;(50);(90);93;76;17;3;(82);(7);49
1979 - 1986;30 - 39;13 und mehr Wohnungen;54;62;116;22;24;36;50;115;(53);3;38;-;70;-;152
1979 - 1986;40 - 49;1 Wohnung;-;6;25;3;91;22;55;40;13;30;56;(43);16;15;18
1979 - 1986;40 - 49;2 Wohnungen;3;17;16;8;52;63;(121);85;45;43;83;(41);(45);24;(56)
1979 - 1986;40 - 49;3 - 6 Wohnungen;50;64;(133);(32);124;129;302;209;(147);83;123;63;90;83;(124)
1979 - 1986;40 - 49;7 - 12 Wohnungen;(106);170;(133);69;89;(104);(165);194;(180);(61);102;(65);(194);(74);145
1979 - 1986;40 - 49;13 und mehr Wohnungen;(233);309;308;128;48;75;84;284;143;20;(120);43;41;41;(162)
1979 - 1986;50 - 59;1 Wohnung;6;3;16;9;85;(75);205;111;(26);(105);(137);111;45;12;(12)
1979 - 1986;50 - 59;2 Wohnungen;16;(38);40;17;(77);(56);(152);(143);73;(75);(130);98;106;47;93
1979 - 1986;50 - 59;3 - 6 Wohnungen;(78);(197);126;(41);(208);186;371;(347);(163);(139);233;(107);184;(160);(157)
1979 - 1986;50 - 59;7 - 12 Wohnungen;(199);450;351;114;(125);222;(114);383;270;96;147;(82);300;(50);258
1979 - 1986;50 - 59;13 und mehr Wohnungen;211;364;(256);(90);27;88;(124);464;326;(21);130;136;138;19;(208)
1979 - 1986;60 - 69;1 Wohnung;4;9;32;21;(127);68;(159);158;55;127;(181);(136);(102);61;33
1979 - 1986;60 - 69;2 Wohnungen;(15);44;36;(16);96;127;(158);(211);(147);114;(210);109;(153);(61);138
1979 - 1986;60 - 69;3 - 6 Wohnungen;61;162;172;(71);(116);232;(389);399;326;(183);239;122;229;153;262
1979 - 1986;60 - 69;7 - 12 Wohnungen;(210);395;(260);119;60;298;102;314;362;(99);146;88;370;(74);(333)
1979 - 1986;60 - 69;13 und mehr Wohnungen;(189);340;(179);(96);(45);43;77;207;(162);-;98;(26);109;9;(155)
1979 - 1986;70 - 79;1 Wohnung;19;(28);(56);11;120;76;164;180;83;70;(136);141;84;59;81
1979 - 1986;70 - 79;2 Wohnungen;13;47;(22);36;(77);120;(188);231;154;(107);192;(115);157;(76);(149)
1979 - 1986;70 - 79;3 - 6 Wohnungen;(116);237;125;(102);(96);256;238;359;419;153;322;(129);297;(129);303
1979 - 1986;70 - 79;7 - 12 Wohnungen;137;618;(220);171;43;218;89;254;401;(76);(112);86;379;54;511
1979 - 1986;70 - 79;13 und mehr Wohnungen;(147);262;314;59;17;(55);21;(168);(122);(12);62;(49);67;9;170
1979 - 1986;80 - 89;1 Wohnung;29;(83);(81);45;(145);(192);284;308;242;136;386;202;211;(103);203
1979 - 1986;80 - 89;2 Wohnungen;20;68;(27);(48);(92);147;150;213;165;(97);(252);(117);218;(83);172
1979 - 1986;80 - 89;3 - 6 Wohnungen;64;(160);84;71;55;(199);(127);272;(306);(90);146;(138);(188);91;(320)
1979 - 1986;80 - 89;7 - 12 Wohnungen;(65);(213);(124);50;12;(77);42;105;323;27;104;63;337;12;410
1979 - 1986;80 - 89;13 und mehr Wohnungen;(103);(137);(144);40;6;57;22;(94);98;(12);116;(58);35;6;76
1979 - 1986;90 - 99;1 Wohnung;99;364;145;(120);254;412;398;514;699;371;615;417;610;185;538
1979 - 1986;90 - 99;2 Wohnungen;23;70;42;40;66;(131);121;168;168;(116);(224);(141);(153);57;(166)
1979 - 1986;90 - 99;3 - 6 Wohnungen;34;(88);(42);63;(28);83;93;(162);(200);(36);85;(65);(175);47;139
1979 - 1986;90 - 99;7 - 12 Wohnungen;29;172;(102);(15);7;18;15;64;222;12;43;34;138;23;231
1979 - 1986;90 - 99;13 und mehr Wohnungen;37;72;30;24;-;52;(3);38;(46);16;110;41;(18);-;96
1979 - 1986;100 - 109;1 Wohnung;(185);554;295;279;414;578;539;721;1090;492;1081;650;1089;408;948
1979 - 1986;100 - 109;2 Wohnungen;21;(65);(41);(30);97;147;(138);(190);171;(86);249;168;186;(97);(209)
1979 - 1986;100 - 109;3 - 6 Wohnungen;(12);44;29;16;47;49;93;(85);77;(56);79;(46);82;10;(118)
1979 - 1986;100 - 109;7 - 12 Wohnungen;27;(15);18;(3);13;6;19;43;(80);13;(27);(13);70;6;(130)
1979 - 1986;100 - 109;13 und mehr Wohnungen;3;(30);37;9;10;6;-;24;(52);-;16;15;40;3;50
1979 - 1986;110 - 119;1 Wohnung;(151);344;270;171;393;538;470;681;989;349;826;561;1030;352;876
1979 - 1986;110 - 119;2 Wohnungen;6;31;32;22;31;66;78;98;(117);67;139;123;87;25;105
1979 - 1986;110 - 119;3 - 6 Wohnungen;(15);(18);13;9;18;(26);40;(51);96;(13);40;21;30;13;58
1979 - 1986;110 - 119;7 - 12 Wohnungen;9;13;(23);6;-;6;(21);(38);(49);9;18;6;(41);-;28
1979 - 1986;110 - 119;13 und mehr Wohnungen;6;21;-;3;-;3;-;10;6;-;9;9;7;-;-
1979 - 1986;120 - 129;1 Wohnung;261;485;329;(225);579;789;718;907;1298;519;1334;938;1315;548;1113
1979 - 1986;120 - 129;2 Wohnungen;15;(31);(25);16;(54);(122);(112);(110);153;67;188;142;161;53;(124)
1979 - 1986;120 - 129;3 - 6 Wohnungen;3;18;9;-;18;25;50;70;(29);15;(44);37;44;20;53
1979 - 1986;120 - 129;7 - 12 Wohnungen;7;18;9;-;-;3;6;25;26;3;-;3;10;3;10
1979 - 1986;120 - 129;13 und mehr Wohnungen;-;12;6;-;18;3;-;15;3;-;11;-;-;-;6
1979 - 1986;130 - 139;1 Wohnung;104;222;129;107;317;424;352;426;706;287;691;472;717;343;725
1979 - 1986;130 - 139;2 Wohnungen;6;14;19;-;23;(48);30;60;47;(34);(78);27;68;(48);67
1979 - 1986;130 - 139;3 - 6 Wohnungen;4;7;3;-;10;(6);16;(12);(29);17;30;(21);(29);17;22
1979 - 1986;130 - 139;7 - 12 Wohnungen;3;6;-;-;-;-;10;6;9;-;9;3;10;-;(3)
1979 - 1986;130 - 139;13 und mehr Wohnungen;-;6;3;-;-;-;-;-;3;-;41;-;-;-;8
1979 - 1986;140 - 149;1 Wohnung;113;180;(98);87;332;407;421;358;642;274;637;387;643;300;613
1979 - 1986;140 - 149;2 Wohnungen;6;8;20;3;23;(46);47;51;(37);(18);(48);68;(35);32;(50)
1979 - 1986;140 - 149;3 - 6 Wohnungen;3;15;9;9;6;6;(34);35;14;9;22;18;21;-;22
1979 - 1986;140 - 149;7 - 12 Wohnungen;-;-;6;-;-;-;-;-;12;-;3;3;3;-;10
1979 - 1986;140 - 149;13 und mehr Wohnungen;6;-;3;-;-;-;-;9;3;-;3;3;-;3;3
1979 - 1986;150 - 159;1 Wohnung;47;(104);(88);68;300;275;305;310;492;192;506;360;578;257;602
1979 - 1986;150 - 159;2 Wohnungen;6;6;(17);-;30;(28);32;34;(28);25;(51);28;(71);(39);52
1979 - 1986;150 - 159;3 - 6 Wohnungen;-;9;4;-;9;6;19;3;(12);3;9;3;10;3;13
1979 - 1986;150 - 159;7 - 12 Wohnungen;-;3;-;-;-;3;-;-;7;-;3;-;6;-;12
1979 - 1986;150 - 159;13 und mehr Wohnungen;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1979 - 1986;160 - 169;1 Wohnung;34;(68);(33);63;(236);190;206;266;265;144;335;258;344;(193);286
1979 - 1986;160 - 169;2 Wohnungen;-;15;3;10;12;(29);23;(16);31;15;44;24;(11);6;25
1979 - 1986;160 - 169;3 - 6 Wohnungen;-;7;-;-;6;6;6;6;3;-;(21);9;10;-;(12)
1979 - 1986;160 - 169;7 - 12 Wohnungen;-;(10);-;-;-;10;-;-;-;-;3;-;3;-;3
1979 - 1986;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1979 - 1986;170 - 179;1 Wohnung;6;(12);25;9;112;114;126;(88);149;(56);191;(137);179;(82);205
1979 - 1986;170 - 179;2 Wohnungen;3;3;3;3;9;6;9;9;7;(14);27;16;6;6;12
1979 - 1986;170 - 179;3 - 6 Wohnungen;-;3;-;-;-;-;-;6;-;3;(3);4;6;-;(12)
1979 - 1986;170 - 179;7 - 12 Wohnungen;3;-;-;-;-;3;-;-;3;-;3;-;-;-;-
1979 - 1986;170 - 179;13 und mehr Wohnungen;-;7;4;-;6;-;-;-;-;-;-;-;-;-;-
1979 - 1986;180 und mehr;1 Wohnung;89;103;(78);89;494;483;400;460;512;303;705;589;655;281;517
1979 - 1986;180 und mehr;2 Wohnungen;9;16;15;11;52;61;72;(44);51;40;86;82;(94);22;(36)
1979 - 1986;180 und mehr;3 - 6 Wohnungen;-;10;12;-;16;(3);25;(44);15;30;(17);19;16;9;(25)
1979 - 1986;180 und mehr;7 - 12 Wohnungen;3;-;6;3;3;3;3;-;3;-;-;-;10;3;-
1979 - 1986;180 und mehr;13 und mehr Wohnungen;-;9;6;-;-;-;3;6;-;-;6;-;3;-;3
1987 - 1990;Unter 30;1 Wohnung;-;-;3;-;3;-;4;6;-;-;-;-;-;-;-
1987 - 1990;Unter 30;2 Wohnungen;-;-;3;-;-;-;3;-;-;-;-;-;3;-;3
1987 - 1990;Unter 30;3 - 6 Wohnungen;-;-;15;6;-;3;(16);19;3;3;3;6;3;4;-
1987 - 1990;Unter 30;7 - 12 Wohnungen;4;3;30;-;19;-;21;-;3;-;7;3;13;-;11
1987 - 1990;Unter 30;13 und mehr Wohnungen;-;46;61;-;-;-;-;-;3;4;-;-;-;-;-
1987 - 1990;30 - 39;1 Wohnung;-;4;4;3;6;-;9;9;-;-;-;6;4;-;-
1987 - 1990;30 - 39;2 Wohnungen;3;3;4;-;10;(16);19;10;-;-;9;-;11;-;-
1987 - 1990;30 - 39;3 - 6 Wohnungen;9;10;(45);-;12;7;54;23;6;3;(11);8;37;-;17
1987 - 1990;30 - 39;7 - 12 Wohnungen;3;3;172;3;22;15;(52);22;-;(35);18;12;15;13;17
1987 - 1990;30 - 39;13 und mehr Wohnungen;3;93;41;-;-;-;3;31;58;7;6;3;21;3;-
1987 - 1990;40 - 49;1 Wohnung;-;-;21;-;13;9;18;15;3;(16);9;19;6;-;-
1987 - 1990;40 - 49;2 Wohnungen;-;(15);6;4;19;6;(33);23;(3);6;(7);15;21;9;(20)
1987 - 1990;40 - 49;3 - 6 Wohnungen;9;(11);(40);3;38;39;(99);100;46;(38);(51);34;(62);16;24
1987 - 1990;40 - 49;7 - 12 Wohnungen;16;28;130;37;22;65;57;49;23;9;(50);12;43;17;19
1987 - 1990;40 - 49;13 und mehr Wohnungen;-;(158);82;3;7;15;17;(110);96;29;19;49;29;12;10
1987 - 1990;50 - 59;1 Wohnung;-;6;-;-;29;12;95;(34);12;9;38;52;10;4;9
1987 - 1990;50 - 59;2 Wohnungen;-;-;15;(17);9;22;(44);(24);41;(19);37;22;27;3;26
1987 - 1990;50 - 59;3 - 6 Wohnungen;13;71;85;12;48;83;130;110;(86);46;62;42;75;21;(58)
1987 - 1990;50 - 59;7 - 12 Wohnungen;45;(67);(215);22;55;75;26;(91);54;27;30;(42);(123);15;39
1987 - 1990;50 - 59;13 und mehr Wohnungen;-;(121);65;-;-;3;27;(110);142;25;44;71;74;21;22
1987 - 1990;60 - 69;1 Wohnung;3;3;16;6;30;28;68;(79);(23);(30);73;(53);39;14;19
1987 - 1990;60 - 69;2 Wohnungen;6;12;9;10;28;39;57;46;(28);6;(68);(52);(47);13;50
1987 - 1990;60 - 69;3 - 6 Wohnungen;12;54;59;37;30;(99);(138);120;(94);43;75;38;115;41;82
1987 - 1990;60 - 69;7 - 12 Wohnungen;58;53;(150);9;12;112;30;(34);85;58;40;36;139;7;(38)
1987 - 1990;60 - 69;13 und mehr Wohnungen;7;47;25;3;3;27;72;51;(132);13;3;9;35;-;(10)
1987 - 1990;70 - 79;1 Wohnung;-;(24);47;9;34;37;(50);99;18;25;55;47;(41);19;12
1987 - 1990;70 - 79;2 Wohnungen;10;4;-;6;18;36;46;(55);(46);24;34;34;47;6;38
1987 - 1990;70 - 79;3 - 6 Wohnungen;18;(132);(54);40;25;(49);73;76;84;(34);59;(35);97;(6);107
1987 - 1990;70 - 79;7 - 12 Wohnungen;61;92;86;52;15;(114);7;(93);(77);6;(18);17;(81);-;86
1987 - 1990;70 - 79;13 und mehr Wohnungen;-;(13);12;13;-;15;(35);(3);153;(58);15;(60);(39);-;(27)
1987 - 1990;80 - 89;1 Wohnung;20;(70);(63);3;60;(77);(101);(107);67;(29);126;(96);87;28;53
1987 - 1990;80 - 89;2 Wohnungen;-;(3);17;-;25;(34);(21);(69);71;(28);(28);38;(84);16;46
1987 - 1990;80 - 89;3 - 6 Wohnungen;-;(12);25;12;22;(31);(75);(76);86;27;47;(49);52;21;(78)
1987 - 1990;80 - 89;7 - 12 Wohnungen;15;19;22;-;-;26;3;31;35;18;15;6;96;4;(33)
1987 - 1990;80 - 89;13 und mehr Wohnungen;3;74;7;-;-;16;6;(6);19;6;28;6;9;-;6
1987 - 1990;90 - 99;1 Wohnung;(28);(154);137;42;69;261;(146);266;472;(158);213;(117);363;(38);321
1987 - 1990;90 - 99;2 Wohnungen;3;-;16;10;16;37;(24);48;(58);12;(75);56;38;16;43
1987 - 1990;90 - 99;3 - 6 Wohnungen;(16);6;9;12;11;23;16;(31);29;15;30;9;(28);15;24
1987 - 1990;90 - 99;7 - 12 Wohnungen;12;(14);3;6;-;(25);-;16;(44);-;3;15;27;-;30
1987 - 1990;90 - 99;13 und mehr Wohnungen;-;39;26;-;-;-;-;3;-;13;46;22;28;-;-
1987 - 1990;100 - 109;1 Wohnung;48;223;216;87;96;272;185;339;555;(149);376;214;631;(168);506
1987 - 1990;100 - 109;2 Wohnungen;-;22;17;-;12;39;34;36;35;(37);(73);(40);(46);15;65
1987 - 1990;100 - 109;3 - 6 Wohnungen;3;9;15;3;9;16;(16);38;25;7;28;13;19;3;24
1987 - 1990;100 - 109;7 - 12 Wohnungen;6;10;3;3;3;7;-;9;18;-;3;9;14;-;(31)
1987 - 1990;100 - 109;13 und mehr Wohnungen;-;4;-;-;-;-;-;3;-;3;-;3;-;-;-
1987 - 1990;110 - 119;1 Wohnung;38;171;128;(46);144;249;122;237;508;136;348;236;450;79;386
1987 - 1990;110 - 119;2 Wohnungen;3;4;9;-;9;(13);19;(19);(37);21;39;18;(48);3;(35)
1987 - 1990;110 - 119;3 - 6 Wohnungen;3;3;-;-;24;9;(21);15;(6);6;(19);11;6;-;(7)
1987 - 1990;110 - 119;7 - 12 Wohnungen;-;3;3;4;-;-;-;22;14;-;-;-;8;-;3
1987 - 1990;110 - 119;13 und mehr Wohnungen;-;-;-;-;-;6;-;3;-;-;9;-;-;-;-
1987 - 1990;120 - 129;1 Wohnung;77;271;(106);(54);(109);267;(224);283;610;(168);532;298;549;140;490
1987 - 1990;120 - 129;2 Wohnungen;3;12;6;-;(19);(60);(37);36;46;(11);63;27;(51);11;(31)
1987 - 1990;120 - 129;3 - 6 Wohnungen;3;10;-;-;-;7;6;16;9;6;9;21;(22);3;18
1987 - 1990;120 - 129;7 - 12 Wohnungen;-;-;10;-;-;-;-;6;-;-;-;-;-;-;-
1987 - 1990;120 - 129;13 und mehr Wohnungen;-;-;-;-;-;3;-;-;-;3;6;3;-;-;-
1987 - 1990;130 - 139;1 Wohnung;(42);85;(69);45;88;158;105;145;(313);(95);261;176;254;67;225
1987 - 1990;130 - 139;2 Wohnungen;-;15;9;-;9;6;13;9;(27);3;16;16;(6);4;19
1987 - 1990;130 - 139;3 - 6 Wohnungen;4;-;-;-;-;-;-;3;6;-;3;13;3;3;9
1987 - 1990;130 - 139;7 - 12 Wohnungen;4;-;-;-;-;-;-;-;-;-;-;-;6;-;3
