Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
Vor 1919;110 - 119;1 Wohnung;42;(61);209;57;388;(283);438;229;306;207;395;466;204;382;(191)
Vor 1919;110 - 119;2 Wohnungen;15;18;(72);21;(117);99;138;131;(163);72;(158);297;(79);116;(87)
Vor 1919;110 - 119;3 - 6 Wohnungen;75;167;288;(53);(81);(62);(92);118;126;(63);130;(142);(91);(87);(60)
Vor 1919;110 - 119;7 - 12 Wohnungen;(98);232;28;9;-;7;13;14;(3);6;9;19;6;6;3
Vor 1919;110 - 119;13 und mehr Wohnungen;12;40;10;-;-;6;-;-;-;-;6;-;-;-;-
Vor 1919;120 - 129;1 Wohnung;71;(81);318;(57);871;484;916;628;490;357;802;1113;385;752;335
Vor 1919;120 - 129;2 Wohnungen;28;(38);111;29;(182);(208);204;185;247;167;343;562;(160);244;(144)
Vor 1919;120 - 129;3 - 6 Wohnungen;85;(134);222;42;98;(144);63;(127);127;110;(207);208;122;110;(120)
Vor 1919;120 - 129;7 - 12 Wohnungen;60;(173);31;6;3;12;-;15;12;6;7;10;4;9;4
Vor 1919;120 - 129;13 und mehr Wohnungen;6;28;-;4;-;-;-;-;-;-;-;-;22;-;-
Vor 1919;130 - 139;1 Wohnung;41;33;124;(47);329;217;318;255;(204);128;331;395;229;353;(182)
Vor 1919;130 - 139;2 Wohnungen;(9);(10);45;-;(87);88;74;(86);(112);(45);122;(162);(76);65;63
Vor 1919;130 - 139;3 - 6 Wohnungen;(43);73;(148);(24);24;55;(34);49;55;37;(78);(103);35;53;37
Vor 1919;130 - 139;7 - 12 Wohnungen;49;109;22;10;-;6;-;3;3;-;4;-;3;16;3
Vor 1919;130 - 139;13 und mehr Wohnungen;15;24;3;-;-;-;-;-;-;4;-;-;-;-;-
Vor 1919;140 - 149;1 Wohnung;51;42;(98);(38);390;(208);385;308;209;136;373;437;193;300;(210)
Vor 1919;140 - 149;2 Wohnungen;12;9;98;6;61;(86);91;(83);102;(34);102;220;(54);(74);(68)
Vor 1919;140 - 149;3 - 6 Wohnungen;(45);73;118;13;17;55;(38);54;56;44;(48);(81);(46);30;(25)
Vor 1919;140 - 149;7 - 12 Wohnungen;34;(73);12;3;-;-;-;-;9;3;-;6;3;12;-
Vor 1919;140 - 149;13 und mehr Wohnungen;3;12;3;-;-;-;-;-;-;3;-;-;-;-;-
Vor 1919;150 - 159;1 Wohnung;34;36;(130);27;417;214;333;178;262;126;408;423;232;310;159
Vor 1919;150 - 159;2 Wohnungen;12;10;33;7;(77);(79);98;64;(49);(81);124;(236);(53);(74);(84)
Vor 1919;150 - 159;3 - 6 Wohnungen;30;(58);82;3;19;48;25;(35);19;34;(87);67;26;21;27
Vor 1919;150 - 159;7 - 12 Wohnungen;26;(77);-;3;4;3;3;-;-;-;3;-;3;-;-
Vor 1919;150 - 159;13 und mehr Wohnungen;-;10;-;-;-;3;-;-;-;-;-;-;-;-;-
Vor 1919;160 - 169;1 Wohnung;32;28;85;17;227;175;260;151;156;(117);291;324;148;219;130
Vor 1919;160 - 169;2 Wohnungen;10;(20);32;12;47;60;56;49;(41);(31);(66);158;39;34;(19)
Vor 1919;160 - 169;3 - 6 Wohnungen;6;36;(40);6;22;(17);21;24;35;17;(50);(59);22;(33);24
Vor 1919;160 - 169;7 - 12 Wohnungen;3;(27);9;-;3;-;(10);-;-;-;-;-;-;-;3
Vor 1919;160 - 169;13 und mehr Wohnungen;-;6;7;-;-;-;-;-;-;-;-;-;-;-;-
Vor 1919;170 - 179;1 Wohnung;14;6;48;10;(153);(76);(73);68;(83);(50);112;143;42;125;(53)
Vor 1919;170 - 179;2 Wohnungen;6;9;15;3;23;30;13;20;25;15;32;59;20;18;(27)
Vor 1919;170 - 179;3 - 6 Wohnungen;13;26;(34);-;-;(6);7;11;9;6;19;18;12;6;15
Vor 1919;170 - 179;7 - 12 Wohnungen;-;23;3;-;-;3;-;-;-;-;-;3;-;-;-
Vor 1919;170 - 179;13 und mehr Wohnungen;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-
Vor 1919;180 und mehr;1 Wohnung;121;(122);(330);(67);943;717;926;787;520;417;1040;1198;498;706;532
Vor 1919;180 und mehr;2 Wohnungen;(23);(32);119;25;(207);(168);(197);(177);(118);(115);268;521;163;169;113
